LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Westmoreland County, PA","$341,921",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","A Motorola portable radio system, including 110 APX6000 portables, was purchased for the Westmoreland County Prison to allow corrections officers to communicate while socially distancing and/or being located in the isolation unit of the prison where the 24 negative pressure cells are located.",Public Health,"Prevention in Congregate Settings (Nursing  Homes, Prisons/Jails, Dense Work Sites, Schools, etc.)",Westmoreland County,PA
"Westmoreland County, PA","$344,880",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","This purchase is for a 5-year licensing agreement that takes our traditional Cisco Unified Connections and bundles everything into a single licensing tier, and increases the collaborative functionality by growing the number of users who have access to these types of tools.",Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Westmoreland County,PA
"Westmoreland County, PA","$277,648",Infrastructure,Broadband,Replace various Cisco Infrastructure throughout the county to modernize cybersecurity and protect critical infrastructure.,Infrastructure,Broadband: Other projects,Westmoreland County,PA
"Westmoreland County, PA","$35,366",Public Health,Covid Response,"In the public health expenditure category, the county has purchased PPE, including gloves and masks, has administered COVID-19 testing, and purchased signage for the COVID-19 vaccination clinic held at the county courthouse.",Public Health, ,Westmoreland County,PA
"York County, PA","$2,562,825",Community Aid,Nonprofit Support,A variety of non-profits providing a myriad of services to York County were allocated relief funding directed to non-profits.,Negative Economic Impacts,Aid to Nonprofit Organizations,York County,PA
"York County, PA","$239,200",Community Aid,Youth And Family Support,A variety of programming is provided around the County. Below are the programs and services that received assignment of relief funds in this funding category. (Big Brother's/YMCA/Big Sisters),Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Other,York County,PA
"York County, PA","$1,139,100",Community Aid,Youth And Family Support,Funding below has been assigned to several early childhood education programs in York County.,Services to Disproportionately Impacted Communities,Education Assistance: Early Learning,York County,PA
"York County, PA","$116,100",Community Aid,Youth And Family Support,Funding below has been assigned to several early childhood education programs in York County.,Services to Disproportionately Impacted Communities,Education Assistance: Other,York County,PA
"York County, PA","$264,200",Community Aid,Youth And Family Support,"In the area of child care, the funding allocations were made to a few organizations to sustain and bolster child care operations.",Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Child Care,York County,PA
"York County, PA","$60,800",Community Aid,Youth And Family Support,"In the area of child care, the funding allocations were made to a few organizations to sustain and bolster child care operations.",Services to Disproportionately Impacted Communities,Healthy Childhood Environments: Services to Foster Youth or Families Involved in Child Welfare System,York County,PA
